id,ime,letnica_rojstva,drzava_rojstva,stevilo_iger_v_bazi,zacetek,konec,zmage,porazi,remiji,delez_zmag,kvaliteta
52116,A Ben Yahya,,,9,2001,2001,4,4,1,50.0,
105207,J Zachariassen,1946,Denmark,60,2001,2016,19,37,4,35.0,1902
50770,Bo Rasmussen,1971,Denmark,11,2001,2001,4,3,4,54.5,2141
51654,A Kontokanis,,,9,2001,2001,1,5,3,27.8,
115308,Hur Yasin,1956,Turkey,38,1975,2017,12,21,5,38.2,1915
50788,R Lilja,1968,Denmark,34,1995,2019,13,13,8,50.0,2076
50714,L Laustsen,1973,Denmark,91,2000,2019,35,38,18,48.4,2088
51695,I Lakakis,1936,Greece,12,2001,2006,4,7,1,37.5,1810
51714,E Kritsikis,1981,Greece,18,2001,2001,6,9,3,41.7,
27442,J Yrjola,1959,Finland,230,1982,2017,50,63,115,47.1,2305
37652,J P Haapasalo,1964,Finland,33,1991,2012,5,16,12,33.3,2069
50778,O E Jorgensen,1954,Denmark,35,2000,2019,11,18,6,40.0,1614
102917,Mike Li,,,11,2001,2001,3,6,2,36.4,
52319,S Karmanov,1954,Russia,1,2001,2001,,,,,2020
91435,V Permiakov,1957,Russia,14,1995,2007,7,3,4,64.3,2241
51123,O Noyer,1946,Switzerland,3,2001,2013,,,,,1909
127400,C Voicu-Jagodzinsky,1981,Romania,136,1992,2017,50,48,38,50.7,2244
52623,F Chi,1982,China,32,2001,2001,7,10,15,45.3,2297
47180,Yu Shaoteng,,,170,1995,2017,52,25,90,58.1,2482
126383,P Masouros,1975,Greece,10,1999,2001,4,6,0,40.0,1859
51668,K Petousis,,,9,2001,2012,3,6,0,33.3,
115127,N P Nielsen,1963,Denmark,22,1962,2009,8,11,3,43.2,2049
50725,I L Hansen,1948,Denmark,47,2000,2018,13,28,6,34.0,1783
98434,T Sachdev,1986,India,577,1997,2019,183,135,171,54.9,2392
51291,Li Ching,,,23,2001,2001,3,16,4,21.7,
52325,A Bespalov,1984,Russia,18,2001,2001,7,5,6,55.6,2312
57407,E Rusakov,1974,Russia,10,2001,2001,2,7,1,25.0,2035
105167,T Nielsen,1975,Denmark,18,2000,2017,4,9,5,36.1,1964
50745,Thormod Furu,1972,Norway,11,2001,2001,4,4,3,50.0,2072
51690,G Pashos,,,9,2001,2001,2,6,1,27.8,
51718,F Papastathi,1985,Greece,6,2001,2001,,,,,
51719,G Nikolopoulos,,,10,2001,2006,3,4,3,45.0,
51694,G Dimitropoulos,,,9,2001,2001,3,4,2,44.4,
68807,M Sorsa,1982,Finland,28,1999,2001,7,16,5,33.9,2140
52693,L Ding,1981,China,31,2001,2002,7,12,12,41.9,2174
47178,N Chunhong,1968,China,63,1994,2019,23,19,21,53.2,2270
51710,E Kostopoulos,1985,Greece,32,2001,2011,8,19,5,32.8,2011
51699,E Kerimov,1971,Russia,12,2001,2007,2,7,3,29.2,2058
94705,K Jedryczka,1980,Poland,44,1997,2009,14,18,10,45.2,2168
90568,V V Alekseev,,,4,1989,2001,1,3,0,25.0,
52332,Y Kuznetsov,1984,Russia,21,2001,2001,12,9,0,57.1,2262
50723,Mikkel Jorgensen,1974,Denmark,24,2000,2001,7,11,6,41.7,1865
51919,J L Chabanon,1971,France,186,1989,2018,53,58,72,48.6,2446
51967,G Blum,1983,France,1,2001,2001,,,,,2047
50688,Rune Andersen,1958,Denmark,16,2000,2013,8,8,0,50.0,2146
50747,J R Kristensen,,,14,2000,2001,6,7,1,46.4,
36802,W Dagher,1972,Lebanon,7,1998,2001,2,2,3,50.0,2103
52541,Mahmoud Shamiyeh,,,2,2001,2001,,,,,
51786,F Esteban Moreno,1963,Spain,2,2001,2001,,,,,1607
24807,C Amura,1970,Argentina,128,1988,2018,35,42,39,47.0,2248
51720,N Xanthopoulos,,,8,2001,2001,1,7,0,12.5,
85854,M Santo-Roman,1960,France,129,1977,2004,41,54,30,44.8,2369
51983,G Herdier,1972,France,3,1999,2005,,,,,2107
49251,B Perruchoud,1966,Switzerland,16,1988,2007,2,9,5,28.1,1829
50908,E Bongers,1949,Netherlands,9,1989,2001,1,5,3,27.8,1970
50890,C de Saegher,1964,Netherlands,32,1992,2012,11,13,8,46.9,2180
51507,B Lelumees,1981,Estonia,19,2001,2007,8,10,1,44.7,2146
51526,R Kartau,1937,Estonia,9,2001,2001,3,4,2,44.4,
51497,A Skuja vs Anatoly Bykho,1943,Latvia,13,2001,2017,4,7,2,38.5,1987
26957,ky,1988,Israel,162,2001,2019,36,29,47,53.1,2496
52529,A EL Mahmoud,1972,Lebanon,48,1999,2016,20,19,9,51.0,2085
52545,T Abbas,1970,Lebanon,2,2001,2001,,,,,1884
51552,J Pitkanen,1946,Finland,52,2000,2017,8,32,12,26.9,1480
36900,M Keskel,1981,Estonia,12,1999,2001,4,6,2,41.7,2051
52567,M Fortier,,,8,2001,2001,3,3,2,50.0,
51540,J Isakovs,1960,Latvia,12,2001,2017,2,7,3,29.2,1888
51506,V Muutnik,1961,Estonia,15,2001,2017,5,7,3,43.3,2098
51521,H Rosenvald,1929,Estonia,9,2001,2001,3,5,1,38.9,
51555,V Zaplava,1988,Estonia,9,2001,2001,2,5,2,33.3,
23713,A Istratescu,1975,Romania,617,1991,2019,223,71,276,63.3,2551
37754,I Frosinos,1954,Greece,18,1991,2012,6,12,0,33.3,1504
52250,K Van Muenster,1976,Germany,12,2000,2001,4,2,6,58.3,2187
52251,M Vanwolleghem,1974,Belgium,1,2001,2001,,,,,1822
