indeks_igre,prvi_igralec,prvi_id,drugi_igralec,drugi_id,izid,stevilo_potez,leto,kraj,odprtje_neka_stevilka,odprtje
1906921,U Fataliyeva,114811,Alanoud Ishaq,160294,1-0,10,2017,World Blitz Championship (Women)</a>,B50,Sicilian
1906948,G Mammadova,54936,S Hoolt,95975,1-0,10,2017,World Blitz Championship (Women)</a>,B40,Sicilian
1907342,E Polovnikova-Atalik,55596,Eiman Fallatah,160277,1-0,12,2017,World Blitz Championship (Women)</a>,D20,Queen's Gambit Accepted
1907480,E Sedina,51128,Afnan Al Qubaishi,160274,1-0,12,2017,World Blitz Championship (Women)</a>,C50,Giuoco Piano
1907261,V Malakhov,25938,M Bosiocic,54641,1-0,14,2017,World Blitz Championship</a>,C65,"Ruy Lopez, Berlin Defense"
1906578,E Doluhanova,76827,Zainab Ali Al Durazi,160272,1-0,15,2017,World Blitz Championship (Women)</a>,C63,"Ruy Lopez, Schliemann Defense"
1906728,M Fierro,64170,Eiman Fallatah,160277,1-0,15,2017,World Blitz Championship (Women)</a>,C57,Two Knights
1906526,Mohammed Alanazy,160268,A M Al Ghamdi,155272,0-1,8,2017,World Blitz Championship</a>,B21,"Sicilian, 2.f4 and 2.d4"
1906924,Eiman Fallatah,160277,J Rapport,127513,0-1,8,2017,World Blitz Championship (Women)</a>,C00,French Defense
1907163,Eiman Fallatah,160277,Li Ruofan,51567,0-1,9,2017,World Blitz Championship (Women)</a>,B25,"Sicilian, Closed"
1907476,Eiman Fallatah,160277,S Vijayalakshmi,49546,0-1,9,2017,World Blitz Championship (Women)</a>,C44,King's Pawn Game
1906940,D Saduakassova,119244,D Charochkina,54893,0-1,10,2017,World Blitz Championship (Women)</a>,D12,Queen's Gambit Declined Slav
1907464,Eiman Fallatah,160277,U Fataliyeva,114811,0-1,12,2017,World Blitz Championship (Women)</a>,C00,French Defense
1908176,A Ornstein,18050,R Thogersen,138818,0-1,14,2017,Rilton Cup 2017/18</a>,A36,English
1907652,J Dempsey,102150,H Witt,148630,0-1,7,2017,Hastings 2017/18</a>,C02,"French, Advance"
1907647,S Lochte,128509,A Muir,22621,0-1,14,2017,Hastings 2017/18</a>,A45,Queen's Pawn Game
1908303,Ludvig Carlsson,157234,K Niemi,100468,0-1,14,2018,Rilton Cup 2017/18</a>,D35,Queen's Gambit Declined
1910066,K Stokke,52954,A R Hayrapetyan,160426,0-1,14,2018,Pro Chess League</a>,A14,English
1909197,M R Burke,138963,D Gavrilescu,154660,0-1,14,2018,Tradewise Gibraltar</a>,A45,Queen's Pawn Game
1908589,Flavio Perez,52869,G Oparin,117645,0-1,15,2018,Tradewise Gibraltar</a>,C55,Two Knights Defense
1909143,Jack Van Zyl-Rudd,151996,F Perez Ponsa,109851,0-1,15,2018,Tradewise Gibraltar</a>,A45,Queen's Pawn Game
1909345,T Lochte,58514,J P Wallace,22378,0-1,15,2018,Tradewise Gibraltar</a>,B21,"Sicilian, 2.f4 and 2.d4"
1909774,A Baert,57170,A Safarian,12085,1-0,14,2018,Tradewise Gibraltar</a>,D31,Queen's Gambit Declined
1910753,J Arroyo Rodriguez,147589,Celia Gillis Onieva,157368,1-0,13,2018,Tradewise Gibraltar</a>,A45,Queen's Pawn Game
1910738,J Roman Lopez,147601,P Pinho,89676,1-0,14,2018,Tradewise Gibraltar</a>,B22,"Sicilian, Alapin"
1911015,E Abdrlauf,160425,K Holm,129021,0-1,14,2018,Pro Chess League</a>,B27,Sicilian
1911827,Degraeve,21943,M Nubairshah Shaikh,129490,1-0,5,2018,Pro Chess League</a>,B12,Caro-Kann Defense
1912244,Van Wely,11733,J Borisek,35978,1-0,11,2018,Pro Chess League</a>,A07,King's Indian Attack
1913491,A Gupta,84020,M Matlakov,54730,0-1,0,2018,Aeroflot Open</a>,A00,Uncommon Opening
1912976,A Boruchovsky,113368,Y Quesada Perez,49093,0-1,12,2018,Pro Chess League</a>,B30,Sicilian
1914426,Stefansson,13793,L Ptacnikova,21973,1-0,12,2018,Reykjavik Open</a>,B01,Scandinavian
1914471,Miguel Miranda Herrera,160507,D Reynolds,47752,0-1,15,2018,Reykjavik Open</a>,C21,Center Game
1914658,S Finsterwalder,121758,D Daulyte-Cornette,54918,0-1,15,2018,Reykjavik Open</a>,E20,Nimzo-Indian
1914729,Lars Wisler Pedersen,160524,Orn Alexandersson,160523,1-0,14,2018,Reykjavik Open</a>,C01,"French, Exchange"
1914695,O Bjarnason,158306,D J Grant,125020,0-1,13,2018,Reykjavik Open</a>,A15,English
1914947,Sigurdur Eiriksson,154326,E Fjallheim,152608,1-0,6,2018,Reykjavik Open</a>,D02,Queen's Pawn Game
1915132,G Bucher,113804,V Magnusdottir,136276,1-0,13,2018,Reykjavik Open</a>,A07,King's Indian Attack
1915115,Henry Singer Gonzalez,160502,Miguel Miranda Herrera,160507,1-0,15,2018,Reykjavik Open</a>,A01,Nimzovich-Larsen Attack
1915121,Guenther Huber-Delle,158262,Juan Luis Velez Romero,160132,0-1,13,2018,Reykjavik Open</a>,B20,Sicilian
1916158,S Smolin,135928,A Tate,94240,0-1,8,2018,European Individual Chess Championship</a>,B23,"Sicilian, Closed"
1916217,J Henseler,133491,Dmitrijs Tokranovs,155861,0-1,12,2018,European Individual Chess Championship</a>,B81,"Sicilian, Scheveningen, Keres Attack"
1915999,Hracek,14000,Jergus Pechac,156981,1-0,12,2018,European Individual Chess Championship</a>,C45,Scotch Game
1916679,Elmar Atakishiyev,155832,A Shevelev,26782,1-0,10,2018,European Individual Chess Championship</a>,B14,"Caro-Kann, Panov-Botvinnik Attack"
