indeks_igre,prvi_igralec,prvi_id,drugi_igralec,drugi_id,izid,stevilo_potez,leto,kraj,odprtje_neka_stevilka,odprtje
1243387,Mackowiak,73299,Kusiak,73300,1-0,5,1980,Lublin,B00,Uncommon King's Pawn Opening
1251073,Deming,77680,Cornell,33568,1-0,6,1980,Indiana Winter op,B20,Sicilian
1077144,B Wall,32393,G Hayes,32944,1-0,7,1980,Dayton,C39,King's Gambit Accepted
1243385,Ziganovic,73296,Laketic,41055,1-0,7,1980,Joegoeslavie,B13,"Caro-Kann, Exchange"
1251060,B Wall,32393,R J Lovegren,77670,1-0,7,1980,Dayton,C15,"French, Winawer"
1077135,K Johansson,32802,S Svensson,32934,1-0,8,1980,corres SWE,C32,"King's Gambit Declined, Falkbeer Counter Gambit"
1243374,Moreno,48744,Padula,73283,1-0,8,1980,cr Ladac 34,C40,King's Knight Opening
1243380,B Wall,32393,J Lippert,73289,1-0,8,1980,Dayton,B23,"Sicilian, Closed"
1243381,B Wall,32393,N Barsalou,32946,1-0,8,1980,Dayton,C11,French
1243386,Efremov,73297,Amirchanov,73298,1-0,8,1980,Kazan,C10,French
1243396,J Dainauskas,73311,Blecher,31662,1-0,8,1980,Siauliai,B12,Caro-Kann Defense
1251050,Carta,32959,Scarpata,77654,1-0,8,1980,Italy,B50,Sicilian
1251055,B Wall,32393,Mitchell,19443,1-0,8,1980,North Carolina,B32,Sicilian
1243383,G Welling,31072,Brinkhorst,73293,1-0,9,1980,Simul,B21,"Sicilian, 2.f4 and 2.d4"
1243391,Vyronel,73304,Adao,73305,1-0,9,1980,Mexico,C44,King's Pawn Game
1243393,M Yudovic,73307,J Kelner,73308,1-0,9,1980,Ol,C16,"French, Winawer"
1243404,T Dagorov,73322,D Beckman,73323,1-0,9,1980,USSR,B06,Robatsch
1251043,J T Collins,77644,Joseph Manuel,77645,1-0,9,1980,NWC February,C25,Vienna
1251044,A Haas,77646,K Lee,77647,1-0,9,1980,Dayton,C77,Ruy Lopez
1077147,B Wall,32393,R Shirley Jr,32947,1-0,10,1980,Dayton,C34,King's Gambit Accepted
1243369,A Machulsky,23172,Schevtschenko,73278,1-0,10,1980,Charkow,B30,Sicilian
1243372,Stapelfeld,73281,Stock,72630,1-0,10,1980,cr,D00,Queen's Pawn Game
1243384,Werten,73294,Knops,73295,1-0,10,1980,HMC,C42,Petrov Defense
1243401,T Martin,63382,NN,12883,1-0,10,1980,Tilburg blitz,C70,Ruy Lopez
1243403,J Acers,73320,Parsons,91489,1-0,10,1980,USA,B46,"Sicilian, Taimanov Variation"
1251047,Moore,28421,Peto,77650,1-0,10,1980,British Columbia,C69,"Ruy Lopez, Exchange, Gligoric Variation"
1251051,B South,77655,T Neshan,77656,1-0,10,1980,Cleveland,B20,Sicilian
1251052,Apra,77657,Furini,77658,1-0,10,1980,Italy,B50,Sicilian
1251058,M R Hazlewood,77665,Fleming,77666,1-0,10,1980,Indiana,B20,Sicilian
1251046,B Wall,32393,D Hayes,32948,1-0,11,1980,Dayton,C70,Ruy Lopez
1251053,Berman,77659,Briones,77660,1-0,11,1980,Illinois,B45,"Sicilian, Taimanov"
1251067,C Reilly,77675,M Tavel,77676,1-0,11,1980,Ohio,B18,"Caro-Kann, Classical"
1077146,B Wall,32393,N Barsalou,32946,1-0,12,1980,Dayton,C34,King's Gambit Accepted
1131120,K Spraggett,21784,M Desautels,44025,1-0,12,1980,Montreal,A17,English
1251045,Harlan Brewer,152293,M Bradach,77649,1-0,12,1980,Dayton,C70,Ruy Lopez
1251049,M Brooks,16824,E Richards,77653,1-0,12,1980,Kansas,C62,"Ruy Lopez, Old Steinitz Defense"
1251061,J Inge,77671,R Selinsky,77672,1-0,12,1980,cr,C12,"French, McCutcheon"
1251074,L Garcia,25848,J Gonzalez,19889,1-0,12,1980,Bogota,A22,English
1080170,J C Knudsen,36606,J Wright,36607,1-0,13,1980,Ft Knox Kentucky,C30,King's Gambit Declined
1225120,R Hedrick,59588,P Cannady,59589,1-0,13,1980,cr,C57,Two Knights
1077139,Talving,32939,Haru,32940,1-0,14,1980,cr,C30,King's Gambit Declined
1077174,B Wall,32393,D Overcash,32891,1-0,14,1980,Statesville,C37,King's Gambit Accepted
1106103,J Penrose,17945,Pryor,40895,1-0,14,1980,ENG,C21,Center Game
1282285,E J Diemer,29926,M Senff,52132,1-0,14,1980,?,C11,French
1345930,G Welling,31072,R Kruithof,94808,1-0,14,1980,Corr NLD/H,A02,Bird's Opening
1049986,Palatnik,15861,Geller,15712,1-0,15,1980,URS Team Cup,A45,Queen's Pawn Game
1225123,Robinnette,59590,Randell,59591,1-0,15,1980,Dayton,C57,Two Knights
1243379,Schnabel,33418,J Cook,73287,0-1,6,1980,Dayton,C15,"French, Winawer"
1243399,Molero,73316,A Lootsma,73317,0-1,6,1980,Stockholm,A23,"English, Bremen System, Keres Variation"
1077158,Carta,32959,Cassano,32960,0-1,7,1980,Italy,C35,"King's Gambit Accepted, Cunningham"
1243368,H Plasman,36771,Hardy,18565,0-1,7,1980,Brabant,B10,Caro-Kann
1243370,NN,12883,R Blaine,73279,0-1,7,1980,"Columbus,Indiana",C00,French Defense
1243395,D Poldauf,26786,C Steudtmann,101001,0-1,7,1980,Rerik,A29,"English, Four Knights, Kingside Fianchetto"
1243398,R Ashley,73314,R Morton,73315,0-1,7,1980,"Statesville,NC",C00,French Defense
1251069,NN,12883,M Braun,19664,0-1,7,1980,Stuttgart,A40,Queen's Pawn Game
1243376,R MacBrayne,73284,Crichton,73285,0-1,8,1980,cr Scotland,A02,Bird's Opening
1243388,Nilzon,73301,Garcia,13576,0-1,8,1980,Malmo,B01,Scandinavian
1243402,R Schlenker,30508,W Stamer,63048,0-1,8,1980,Tubingen,A00,Uncommon Opening
1251054,Bardi,77661,Gacsalyi,77662,0-1,8,1980,cr,B32,Sicilian
1251059,D Brown,77667,J Dykes,77668,0-1,8,1980,Colorado,D02,Queen's Pawn Game
1251062,C Hatherill,59593,B Wall,32393,0-1,8,1980,Dayton,C02,"French, Advance"
1077150,P Baudoin,32950,A Kleijberg,32951,0-1,9,1980,Den Bosch,C34,King's Gambit Accepted
1077185,Bosscher,32991,L Smit,32992,0-1,9,1980,Zevenbergen,C31,"King's Gambit Declined, Falkbeer Counter Gambit"
1243371,Taylor,18597,P Cody,36529,0-1,9,1980,cr,A10,English
1243375,P Kahn,59710,N Karker,30859,0-1,9,1980,cr POL,A34,"English, Symmetrical"
1251057,K Baldino,77664,A Moore,148988,0-1,9,1980,Dayton,B20,Sicilian
1251066,B Gannon,77673,R Vilen,77674,0-1,9,1980,Minnesota,A16,English
1251070,N Barsalou,32946,B Wall,32393,0-1,9,1980,Dayton,A02,Bird's Opening
1251072,R J Lovegren,77670,B Wall,32393,0-1,9,1980,Dayton,A02,Bird's Opening
1243373,Z Liszka,111526,A Harju,32669,0-1,10,1980,cr,D91,"Grunfeld, 5.Bg5"
1243392,A Faber,73240,J Webbink,73306,0-1,10,1980,Nijmegen,B45,"Sicilian, Taimanov"
1243400,O Korchagin,73318,I Smorodinskis,73319,0-1,10,1980,Tallinn,A28,English
1225122,D Hayes,32948,B Wall,32393,0-1,11,1980,Dayton,C58,Two Knights
1251048,C Koppen,77651,K Waibel,77652,0-1,11,1980,Fort Meade MD,C60,Ruy Lopez
1251065,T Trogdon,59623,B Wall,32393,0-1,11,1980,Dayton,A17,English
1251068,B Vider,77677,B Wall,32393,0-1,11,1980,Dayton,B12,Caro-Kann Defense
1251071,R Stark,42894,R Buchanan,18661,0-1,11,1980,Colorado,A02,Bird's Opening
1251063,D Hayes,32948,B Wall,32393,0-1,12,1980,Dayton,C01,"French, Exchange"
1077112,J Hayes,32900,T Alfred,32839,0-1,13,1980,Columbus,C30,King's Gambit Declined
1229162,P van Dalfsen,34718,D Vajs,33048,0-1,14,1980,corres EUR,C27,Vienna Game
1345926,G Terreaux,28148,G Welling,31072,0-1,14,1980,Biel masters open,A10,English
1441478,S Lilienthal,38856,N Kristoffel,34703,0-1,14,1980,WCup3 sf03 corr,D48,"Queen's Gambit Declined Semi-Slav, Meran"
1077145,B Wall,32393,S Giannotta,32945,0-1,15,1980,Dayton,C30,King's Gambit Declined
1702793,J Hajdu,142425,R Borrell,142426,0-1,15,1980,ICCF Womens Olympiad III preliminary,A00,Uncommon Opening
1495933,H Zolfaghari,115078,L Day,16101,0-1,12,1980,CAN-op,B06,Robatsch
1243382,C Hansen,29852,P Rodas,73292,1-0,6,1980,Wch U20,C01,"French, Exchange"
1753235,Murey,38671,I Gelfer,40033,1-0,13,1980,Ramat Hasharon,B17,"Caro-Kann, Steinitz Variation"
1243389,R Gocheva,56162,T Salazar,122972,1-0,9,1980,Chess Olympiad (Women),C46,Three Knights
1229178,T Ristoja,40476,S Georges,41870,1-0,11,1980,Chess Olympiad,C26,Vienna
1243390,G Widmer-Babic,103339,R R Ramirez,147869,0-1,10,1980,Chess Olympiad (Women),C10,French
1760719,T Upton,21964,A Rodriguez Cespedes,47080,1-0,14,1980,Chess Olympiad,C44,King's Pawn Game
1243410,Jackson,34534,Fuller,73335,1-0,7,1981,ECI wom,B22,"Sicilian, Alapin"
1225160,D Shirley,59620,B Ellena,33053,1-0,8,1981,Dayton,C57,Two Knights
1243412,G Welling,31072,E ten Haaf,73338,1-0,8,1981,Eindhoven blitz,A00,Uncommon Opening
1243419,R de Graaff,45771,M Scheeren,72699,1-0,8,1981,NL tt,A48,King's Indian
1243420,Motilev,73348,Tschirkow,73349,1-0,8,1981,Nowosibirsk,C65,"Ruy Lopez, Berlin Defense"
1251081,D Pelan,77729,M Hand,77693,1-0,8,1981,Dayton,B45,"Sicilian, Taimanov"
1251084,T Mantia,32314,R Shirley Jr,32947,1-0,8,1981,Dayton,D06,Queen's Gambit Declined
1225155,J Vasser,94374,T Brookshear,85701,1-0,9,1981,Columbus,C45,Scotch Game
1243406,A Haugen,79292,Lerfald,73327,1-0,9,1981,cr,E16,Queen's Indian
1243411,P Schoeber,136031,E Bouwmans,73337,1-0,9,1981,Eindhoven,A27,"English, Three Knights System"
1243416,M S Tseitlin,42004,I Taimanov,73342,1-0,9,1981,Leningrad,B46,"Sicilian, Taimanov Variation"
1251076,W Pritchard,77685,I Hund,60995,1-0,9,1981,Biel (Women),C64,"Ruy Lopez, Classical"
1077256,A Yuneev,10954,Klovans,83237,1-0,10,1981,Odessa,C34,King's Gambit Accepted
1233608,R Casafus,38791,E Formanek,18832,1-0,10,1981,Lewisham,C44,King's Pawn Game
1243408,Soderstrom,149231,Tzannetakis,73331,1-0,10,1981,cr,C42,Petrov Defense
1243409,L Mischke,65003,Miarczynski,73332,1-0,10,1981,cr E-P,B32,Sicilian
1243414,H Van Oostrum,32360,Verkooijen,73340,1-0,10,1981,HMC,A04,Reti Opening
1243415,H Van Oostrum,32360,Rohner,73341,1-0,10,1981,HMC,C27,Vienna Game
1251079,Abbott,45594,Sonne,77689,1-0,10,1981,El Paso,B50,Sicilian
1251091,G S Perks,77706,D Dardinger,77707,1-0,10,1981,Columbus,A18,"English, Mikenas-Carls"
1251093,Werner,28141,Hess,77710,1-0,10,1981,corr 17. DFM/E,C68,"Ruy Lopez, Exchange"
1275185,U Markmann,82613,G P Gruen,47282,1-0,10,1981,NRW-ch,E17,Queen's Indian
1702795,M J Reilly,142429,R J Leggatt,142430,1-0,10,1981,corr,C41,Philidor Defense
1077242,M Blount,33056,B Dykes,32835,1-0,11,1981,Dayton,C37,King's Gambit Accepted
1225149,W H Dodgen,59609,D Boyd,59610,1-0,11,1981,Aiken,C57,Two Knights
1225161,Dan Hill,36409,L Potter,59621,1-0,11,1981,Dayton,C57,Two Knights
1251075,A Ambanelli,77683,R Frith,77684,1-0,11,1981,cr,C67,Ruy Lopez
1251083,J Flinn,77694,John Ross,148989,1-0,11,1981,Ohio,B20,Sicilian
1702800,W O Megier,90519,C F Mason,142434,1-0,11,1981,Hammond Memorial corr tournament,C34,King's Gambit Accepted
1827379,K Jensen,87158,W Norton,113475,1-0,11,1981,Otago Easter Tt,A41,Queen's Pawn Game (with ...d6)
1150208,J Ye,10758,V Koshy,14573,1-0,12,1981,Hangzhou Asian cht,B32,Sicilian
1251085,J Winslow,77695,H Bystritsky,77696,1-0,12,1981,Vandalia,C50,Giuoco Piano
1251088,Libner,77700,Ritzmann,77701,1-0,12,1981,East Germany,C07,"French, Tarrasch"
1251090,R Karch,33872,E Luschei,77704,1-0,12,1981,Tacoma,A34,"English, Symmetrical"
1251096,Z Makowski,77713,M Matuszczak,77714,1-0,12,1981,Gdansk (Poland),A00,Uncommon Opening
1077235,T Magee,32941,C Aker,33049,1-0,13,1981,cr,C30,King's Gambit Declined
1559949,G Chandler,43666,E Gilliand,158850,1-0,13,1981,Edinburgh,C46,Three Knights
1077196,M Ballmann,15704,F Fritsche,33004,1-0,14,1981,corres DDR/BRD,C34,King's Gambit Accepted
1077221,J Van Aalzum,33035,J van der Kooij,32858,1-0,14,1981,corres NLD,C32,"King's Gambit Declined, Falkbeer Counter Gambit"
1077244,B Beard,94366,J Cross,33058,1-0,14,1981,Dayton,C37,King's Gambit Accepted
1229201,J Bodis,34709,H Gromotka,62814,1-0,14,1981,corres EUR,C23,Bishop's Opening
1461368,Garcia,13576,G Andruet,27012,1-0,14,1981,Wijk aan Zee III,A07,King's Indian Attack
1702794,M D Benson,142427,W O Megier,90519,1-0,14,1981,corr,B06,Robatsch
1702812,K A Barker,142447,S A Marshall,142605,1-0,14,1981,Hammond Mammoth corr tournament,C30,King's Gambit Declined
1820083,A Lloyd,106348,R Takhar,154478,1-0,14,1981,NZ Junior Ch,D31,Queen's Gambit Declined
1077224,J van der Kooij,32858,R Hoen,28699,1-0,15,1981,corres NLD,C34,King's Gambit Accepted
1109960,Zsuzsa Polgar,15162,E Ivanov,41481,1-0,15,1981,Varna,A57,Benko Gambit
1227996,B Wall,32393,V Duncan,62003,1-0,15,1981,Dayton,C51,Evans Gambit
1284215,B Hedlund,84240,I Lindqvist,84241,1-0,15,1981,cr,C13,French
1294319,Antoshin,17401,E Tatevosian,86083,1-0,15,1981,Yerevan Seniors,D37,Queen's Gambit Declined
1336980,J Hartung-Nielsen,84315,P Manne,52937,1-0,15,1981,Gausdal,D37,Queen's Gambit Declined
1610144,R Ling,59622,C Botha,32949,1-0,15,1981,Dayton,B23,"Sicilian, Closed"
1251092,J Spencer,77708,Takacs,72782,0-1,4,1981,Dayton,A20,English
1077258,NN,12883,D Gedult,32593,0-1,6,1981,Paris m/1,C31,"King's Gambit Declined, Falkbeer Counter Gambit"
1251095,Lputian,14284,T Georgadze,15007,0-1,6,1981,Vilnius,E12,Queen's Indian
1243407,Bayle,73328,J Martenot,107687,0-1,7,1981,cr,A40,Queen's Pawn Game
1243418,Till Plewe,153323,P Kerkhof,77911,0-1,7,1981,Liege,B40,Sicilian
1251077,D Hater,107436,R Crowl,77687,0-1,8,1981,Vandalia,C62,"Ruy Lopez, Old Steinitz Defense"
1251086,Findley,77697,B Wall,32393,0-1,9,1981,Dayton,E24,"Nimzo-Indian, Samisch"
1077192,Enzy,32999,Sofia,32983,0-1,10,1981,corr,C36,"King's Gambit Accepted, Abbazia Defense"
1077243,B Dykes,32835,M Blount,33056,0-1,10,1981,Dayton,C37,King's Gambit Accepted
1243405,S Dunning,73325,T Mantia,32314,0-1,10,1981,Columbus,C12,"French, McCutcheon"
1243421,V Borisenko-Belova,63341,E D Epstein,53220,0-1,10,1981,USSR,C41,Philidor Defense
1251080,T Trogdon,59623,F Whitacre,77691,0-1,10,1981,Dayton,B46,"Sicilian, Taimanov Variation"
1251087,D Winslow,33248,J Wehener,94393,0-1,11,1981,Dayton,C14,"French, Classical"
1251089,V Lorand,77702,B Snyder,150099,0-1,11,1981,Dayton,C02,"French, Advance"
1251094,H Hansen,77711,W Riemer,90353,0-1,11,1981,?,B21,"Sicilian, 2.f4 and 2.d4"
1077220,J Sinke,33031,J van Oosterom,33034,0-1,12,1981,corres NLD,C33,King's Gambit Accepted
1251082,R J Lovegren,77670,B Wall,32393,0-1,12,1981,Dayton,B29,"Sicilian, Nimzovich-Rubinstein"
1275986,A J Goedkoop,82679,N Oud,115992,0-1,12,1981,cr M101,B64,"Sicilian, Richter-Rauzer Attack"
1276933,Soderstrom,149231,Ake Olsson,47796,0-1,12,1981,?,A51,Budapest Gambit
1702799,M M Stubbs,142432,R F Hille,142433,0-1,12,1981,Hammond Memorial corr tournament,B02,Alekhine's Defense
1229215,K Berg,14055,A Kosten,13804,0-1,13,1981,Lewisham,C29,Vienna Gambit
1225196,J Cope,59639,M Szymanski,29594,0-1,14,1981,Washington,C57,Two Knights
1320053,Wall,89859,C Aker,33049,0-1,14,1981,corr,C50,Giuoco Piano
1077191,C Jones,27059,K Embrey,32998,0-1,15,1981,Columbus,C34,King's Gambit Accepted
1077237,M Litique,30686,S Naftalin,17377,0-1,15,1981,cr,C38,King's Gambit Accepted
1077240,D Wolford,33054,Jim Jordan,30737,0-1,15,1981,Dayton,C33,King's Gambit Accepted
1150598,V P Moskalenko,15254,Yermolinsky,12166,0-1,15,1981,Odessa,D97,"Grunfeld, Russian"
1225145,N Saeed,59606,Przewoznik,13827,0-1,15,1981,?,C56,Two Knights
1225158,B Haag,59617,B Juhl,59618,0-1,15,1981,cr,C57,Two Knights
1760537,S Decman,150377,F Rhine,108115,0-1,15,1981,Master Challenge III,B22,"Sicilian, Alapin"
1016054,Browne,16174,Adorjan,14589,1-0,12,1981,Hoogovens,E62,"King's Indian, Fianchetto"
1864320,David Field,155285,P B Weir,104656,0-1,13,1981,Howick-Pakuranga Open,B32,Sicilian
1433994,J Peters,28794,R Sulman,126841,1-0,14,1981,Lone Pine</a>,C60,Ruy Lopez
1434013,J Thinnsen,47499,D J Strauss,19288,0-1,13,1981,Lone Pine</a>,B59,"Sicilian, Boleslavsky Variation, 7.Nb3"
1082620,E Lobron,14919,Korchnoi,15866,0-1,13,1981,Bad Kissingen,A09,Reti Opening
1037600,R Hawkes,48546,L Day,16101,0-1,15,1981,CAN-ch / Zonal,C99,"Ruy Lopez, Closed, Chigorin, 12...cd"
1505967,V Vepkhvishvili,43016,Khasaov,116377,0-1,15,1981,Ch SU \\,A45,Queen's Pawn Game
1284714,H Dobosz,24549,H D Pedersen,45811,1-0,15,1981,Esbjerg-B,D25,Queen's Gambit Accepted
1275046,N J Fries-Nielsen,82588,I Farago,12209,0-1,12,1981,Esbjerg Vesterhav,A01,Nimzovich-Larsen Attack
1032931,C Braga,16450,Ippei Asai,20705,1-0,14,1981,World U26 Team-ch,C55,Two Knights Defense
1275747,U Boensch,11607,V Antonov,59574,1-0,15,1981,Halle Buna,A15,English
1118254,Mikhalchishin,15391,Romanishin,14173,0-1,12,1981,URS-ch49,D85,Grunfeld
1243417,Sznapik,14368,J Barle,26655,1-0,8,1981,1st Pirc Memorial,B40,Sicilian
1275086,D Michiels,82600,F Berend,26768,1-0,14,1981,EU-ch U20,B63,"Sicilian, Richter-Rauzer Attack"
1077332,D Burk,33148,J Walthour,33149,1-0,6,1982,Dayton,C30,King's Gambit Declined
1243430,R Buchanan,18661,Rojas,73358,1-0,6,1982,Boulder,E00,Queen's Pawn Game
1702807,D Ahern,142441,C Boomhower,142442,1-0,6,1982,corr,C27,Vienna Game
1243454,S Steller,104706,Reig,13623,1-0,7,1982,Stroebeck,D06,Queen's Gambit Declined
1243457,J Martin,29482,J Ellis,55337,1-0,7,1982,USA,A32,"English, Symmetrical Variation"
1251119,R Smith,34598,C Tichenor,77741,1-0,7,1982,South Carolina,B17,"Caro-Kann, Steinitz Variation"
1243423,H Van der Heijden,73202,Feenstra,73352,1-0,8,1982,'t Harde,B00,Uncommon King's Pawn Opening
1243432,Subota,73360,Hudrka,73361,1-0,8,1982,cr,D00,Queen's Pawn Game
1243441,J Spoorenberg,34829,J Vaessens,73374,1-0,8,1982,HMC,C41,Philidor Defense
1243451,Lazarev,17109,Kundichev,73394,1-0,8,1982,Moskou,C42,Petrov Defense
1243460,Subota,73360,Kusmischkin,73400,1-0,8,1982,Wolgograd,D00,Queen's Pawn Game
1243461,K V Chernyshov,18185,Andrejew,73402,1-0,8,1982,Woronesh,C00,French Defense
1251110,Jones,19436,Gilson,73080,1-0,8,1982,Dayton,C50,Giuoco Piano
1251113,Rodgers,77733,D Durham,38168,1-0,8,1982,California,E04,"Catalan, Open, 5.Nf3"
1610091,S Wygle,27286,Brett Thompson,37076,1-0,8,1982,Columbus,D02,Queen's Pawn Game
1077341,G Welling,31072,R Douven,18768,1-0,9,1982,Eindhoven CC rapid,C30,King's Gambit Declined
1077366,M Basman,27319,NN,12883,1-0,9,1982,Paris,C33,King's Gambit Accepted
1243422,H Van Schaaik,73351,NN,12883,1-0,9,1982,?,C44,King's Pawn Game
1243431,T Redman,10092,A Sandrin,23350,1-0,9,1982,Chicago,E10,Queen's Pawn Game
1243438,D Pelan,77729,B Harris,153143,1-0,9,1982,Dayton,C50,Giuoco Piano
1243440,R Feijtens,73373,H Van der Heijden,73202,1-0,9,1982,HMC,E85,"King's Indian, Samisch, Orthodox Variation"
1243445,P Goossens,73243,Van Kerkwijk,73380,1-0,9,1982,Leiden,A28,English
1243455,K Pytel,32585,NN,12883,1-0,9,1982,Torucoing open,C45,Scotch Game
1251103,R Pain,77723,R Peters,77724,1-0,9,1982,St.Paul,D51,Queen's Gambit Declined
1369620,E Daikeler,30793,W Matteg,98316,1-0,9,1982,Theme2 corr,A45,Queen's Pawn Game
1077277,T Lee,19300,M Bergquist,33085,1-0,10,1982,Columbus,C30,King's Gambit Declined
1088821,E Lubarsky,38590,L Christiansen,15040,1-0,10,1982,SJ CITY COLLEGE,B57,Sicilian
1225207,J Gilmore,59649,P Bringer,59650,1-0,10,1982,Dayton,C57,Two Knights
1243424,Bucker,72718,NN,12883,1-0,10,1982,2x5 mn,A06,Reti Opening
1243425,K Muench,69657,H Haider,73354,1-0,10,1982,Bay. H2,A40,Queen's Pawn Game
1243426,I Nemet,68507,G Dizdar,17775,1-0,10,1982,Biel,E15,Queen's Indian
1243428,B Perenyi,19678,Z Szabo,59891,1-0,10,1982,Budapest,C42,Petrov Defense
1243429,E Szalanczy,19802,A Wallner,42006,1-0,10,1982,Budapest,B56,Sicilian
1243436,Knap,73366,Dvorak,33415,1-0,10,1982,cr CS cup,B20,Sicilian
1243442,P Ten Hacken,73375,Nobbe,73376,1-0,10,1982,HMC,C40,King's Knight Opening
1243446,Bjesman,73381,Minosjan,73382,1-0,10,1982,Leningrad,B30,Sicilian
1251099,Hardesty,77719,Lee Koppe,77240,1-0,10,1982,Dayton,B32,Sicilian
1702808,J Henri,137940,H Abarbanell,142443,1-0,10,1982,corr,C65,"Ruy Lopez, Berlin Defense"
1251115,Zavodnik,77735,Korg,77736,1-0,11,1982,Anaheim,C02,"French, Advance"
1306158,H Zieher,62832,Herrmann,30162,1-0,11,1982,German Championship,B13,"Caro-Kann, Exchange"
1251106,D Flack,77727,Paul May,157216,1-0,12,1982,Columbus,D20,Queen's Gambit Accepted
1251121,G Martin,77744,C Ott,77745,1-0,12,1982,cor.,C80,"Ruy Lopez, Open"
1320054,Zevetov,89861,A Yakimov,89862,1-0,12,1982,URS corr,C50,Giuoco Piano
1077330,J Coppola,33144,D Frank,33145,1-0,13,1982,cr,C34,King's Gambit Accepted
1327186,R Goldt,91548,V Drueke,91549,1-0,13,1982,GWG theme corr,A45,Queen's Pawn Game
1885012,Steinbach,159075,Schachcomputer,159076,1-0,13,1982,Casual game,C40,King's Knight Opening
1077334,Dave Foley,33151,James Price,33152,1-0,14,1982,Dayton,C33,King's Gambit Accepted
1077338,B Wall,32393,A Stauffer,33156,1-0,14,1982,Dayton,C36,"King's Gambit Accepted, Abbazia Defense"
1077362,T Green,32806,F Kempfe,33168,1-0,14,1982,Minnesota,C34,King's Gambit Accepted
1077374,F Gehlhoff,33176,J Zarik,33177,1-0,14,1982,Wisconson,C34,King's Gambit Accepted
1225216,D Field,59654,David L Kuhns,153468,1-0,14,1982,Minnesota,C57,Two Knights
1610078,C Meidinger,94382,J Weitthoff,77445,1-0,14,1982,Dayton,C60,Ruy Lopez
1798025,T Broek,118649,Peter van Diepen,73155,1-0,14,1982,Alkmaar op,C15,"French, Winawer"
1225214,C Garcia,59624,S Taulbut,46615,1-0,15,1982,It (active),C56,Two Knights
1327193,F Baranowski,91553,V Drueke,91549,1-0,15,1982,Theme2 corr,A45,Queen's Pawn Game
1333520,E Schiller,27484,Kudevitsky,92485,1-0,15,1982,Local Tournament,A52,Budapest Gambit
1369628,Anke Fischer,68577,V Drueke,91549,1-0,15,1982,Theme2 corr,A45,Queen's Pawn Game
1440826,J Bellingrath,107456,H Kohl,107457,1-0,15,1982,Baden-ch MB2,B00,Uncommon King's Pawn Opening
1755791,M Yeo,18664,S Banks,150148,1-0,15,1982,London League,B96,"Sicilian, Najdorf"
1251125,Antoshin,17401,A Sokolov,11701,0-1,7,1982,Moscu,E12,Queen's Indian
1243434,Besada,73363,Mabille,73364,0-1,8,1982,cr,C69,"Ruy Lopez, Exchange, Gligoric Variation"
1243456,A Brown,73136,Myreng,73397,0-1,8,1982,USA,A07,King's Indian Attack
1251101,Stoddard,77721,G Bielefeld,33658,0-1,8,1982,cr,B20,Sicilian
1251117,D Hoog,33340,Morgan,29981,0-1,8,1982,Dayton,A34,"English, Symmetrical"
1251120,F Bergmann,77742,N Gallinnis,65584,0-1,8,1982,corr,A04,Reti Opening
1077367,H D Trimpi,33171,B Kaplan,33172,0-1,9,1982,Pennsylvania,C37,King's Gambit Accepted
1243435,E van den Hooven,73365,P Goossens,73243,0-1,9,1982,cr,C18,"French, Winawer"
1243458,J Cook,73287,Roubal,73398,0-1,9,1982,USA,C42,Petrov Defense
1251109,A Stauffer,33156,D Pelan,77729,0-1,9,1982,Dayton,C50,Giuoco Piano
1369623,V Drueke,91549,F Baranowski,91553,0-1,9,1982,Theme2 corr,A45,Queen's Pawn Game
1369645,W Weschke,84450,Anke Fischer,68577,0-1,9,1982,Theme corr,A45,Queen's Pawn Game
1243437,I Kapic,12665,Vih,73367,0-1,10,1982,cr YU,B48,"Sicilian, Taimanov Variation"
1243439,R Caessens,19672,H Hoeksema,39580,0-1,10,1982,Dieren,E20,Nimzo-Indian
1243443,Pas,73377,H Van der Heijden,73202,0-1,10,1982,HMC,B06,Robatsch
1243444,Kisseljow,73378,Jelpidinski,73379,0-1,10,1982,Kasan,C17,"French, Winawer, Advance"
1243452,NN,12883,M Basman,27319,0-1,10,1982,?,C01,"French, Exchange"
1243453,B Salvermoser,104362,Werner,28141,0-1,10,1982,Porz,D08,"Queen's Gambit Declined, Albin Counter Gambit"
1251100,Regan,36288,Corkus,77720,0-1,10,1982,cr,B21,"Sicilian, 2.f4 and 2.d4"
1251097,Weaver,77715,Steven John Fenic,77716,0-1,11,1982,Dayton,B70,"Sicilian, Dragon Variation"
1251102,J Winslow,77695,M Blount,33056,0-1,11,1982,Dayton,B20,Sicilian
1251104,B Wall,32393,D Erb,77725,0-1,11,1982,Winston-Salem,D52,Queen's Gambit Declined
1251111,Dave Foley,33151,B Wall,32393,0-1,11,1982,Dayton,E22,"Nimzo-Indian, Spielmann Variation"
1251114,D Pelan,77729,B Wall,32393,0-1,11,1982,Dayton,C15,"French, Winawer"
1251118,B Moraja,77774,E Kerney,77740,0-1,11,1982,Dayton,A17,English
1251122,W Thormann,77746,K Bischoff,11605,0-1,11,1982,Bundesliga 1981/82,A42,"Modern Defense, Averbakh System"
1369624,V Drueke,91549,R Cossmann,91547,0-1,11,1982,Theme2 corr,A45,Queen's Pawn Game
1077337,R Shirley Jr,32947,B Wall,32393,0-1,12,1982,Dayton,C36,"King's Gambit Accepted, Abbazia Defense"
